"filename", "language", "Python", "comment", "blank", "total"
"/Users/victorburgos/trabajo/organelle_pba/organelle_PBA2/orgpba2/__init__.py", "Python", 0, 0, 1, 1
"/Users/victorburgos/trabajo/organelle_pba/organelle_PBA2/orgpba2/assemble_organelle.py", "Python", 79, 0, 22, 101
"/Users/victorburgos/trabajo/organelle_pba/organelle_PBA2/orgpba2/src/__init__.py", "Python", 0, 0, 1, 1
"/Users/victorburgos/trabajo/organelle_pba/organelle_PBA2/orgpba2/src/canu.py", "Python", 0, 0, 1, 1
"/Users/victorburgos/trabajo/organelle_pba/organelle_PBA2/orgpba2/src/config.py", "Python", 31, 0, 9, 40
"/Users/victorburgos/trabajo/organelle_pba/organelle_PBA2/orgpba2/src/dependencies.py", "Python", 35, 5, 6, 46
"/Users/victorburgos/trabajo/organelle_pba/organelle_PBA2/orgpba2/src/minimap2.py", "Python", 61, 18, 24, 103
"/Users/victorburgos/trabajo/organelle_pba/organelle_PBA2/orgpba2/src/seqs.py", "Python", 73, 7, 20, 100
"/Users/victorburgos/trabajo/organelle_pba/organelle_PBA2/orgpba2/src/utils.py", "Python", 78, 2, 25, 105
"/Users/victorburgos/trabajo/organelle_pba/organelle_PBA2/orgpba2/tests/__init__.py", "Python", 0, 0, 1, 1
"/Users/victorburgos/trabajo/organelle_pba/organelle_PBA2/orgpba2/tests/test_canu.py", "Python", 0, 0, 1, 1
"/Users/victorburgos/trabajo/organelle_pba/organelle_PBA2/orgpba2/tests/test_dependencies.py", "Python", 33, 12, 14, 59
"/Users/victorburgos/trabajo/organelle_pba/organelle_PBA2/orgpba2/tests/test_minimap2.py", "Python", 50, 0, 11, 61
"/Users/victorburgos/trabajo/organelle_pba/organelle_PBA2/orgpba2/tests/test_seq_utils.py", "Python", 31, 3, 11, 45
"/Users/victorburgos/trabajo/organelle_pba/organelle_PBA2/orgpba2/tests/test_utils.py", "Python", 50, 3, 38, 91
"Total", "-", 521, 50, 185, 756
